State,NBA Team(s),City,Stadium,Geolocation,
Arizona,Phoenix Suns,Phoenix,US Airways Center,"33.4459ø N, -112.07131ø E",
california,Golden State Warriors,Oakland,Oracle Arena,"37.75012ø N, -122.2029ø E",
california,Los Angeles Clippers,Los Angeles,Staple Center,"34.043125ø N, -118.26712ø E",
california,Los Angeles Lakers,Los Angeles,Staple Center,"34.043125ø N, -118.26712ø E",
california,Sacramento Kings,Sacramento,Golden 1 Center ,"38.580643ø N, -121.49962ø E",
Colorado,Denver Nuggets,Denver,Pepsi Arena,"42.648575ø N, -73.754906ø E",
Florida,Miami Heat,Miami,American irways Arena,32ø47?26?N 96ø48?37?W,
Florida,Orlando Magic,Orlando,Amway Arena,"28.539293ø N, -81.38396ø E",
Georgia,Atlanta Hawks,Atlanta,Philips Arena,"33.75722ø N, -84.39671ø E",
Illinois,Chicago Bulls,Chicago,United Center,"41.881145ø N, -87.6742ø E",
Indiana,Indiana Pacers,Indiana,Bankers Life Fieldhouse,"39.764ø N, -86.15552ø E",
Louisiana,New Orleans Pelicans,New orleans,New Orleans Arena,"29.949738ø N, -90.081696ø E",
Massachusetts,Boston Celtics,Boston,TD Bank Garden,"42.36622ø N, -71.06238ø E",
Michigan,Detroit Pistons,Detroit,The palace of Auburn Hills,"42.69701ø N, -83.24562ø E",
Minnesota,Minnesota Timberwolves,Minnesota,Target Center,"44.97984ø N, -93.27657ø E",
New York,Brooklyn Nets,Brooklyn,Barclays Center,"40.682564ø N, -73.975426ø E",
New York,New York Knicks,New York,Madison Quare garden,"40.749706ø N, -73.9916ø E",
North Carolina,Charlotte Hornets,Charlotte,The Time Warner Cable Arena,"35.22516ø N, -80.83926ø E",
Ohio,Cleveland Cavaliers,Cleveland,Quicken Loans Arena,"41.49656ø N, -81.68815ø E",
Oklahoma,Oklahoma City Thunder,Oaklahama,Chesapeake Energy Arena,"35.463455ø N, -97.515114ø E",
Oregon,Portland Trail Blazers,Portland,Moda Center,"45.531563ø N, -122.66684ø E",
Pennsylvania,Philadelphia 76ers,Philadelphia,Wells Fargo Center,"39.90151ø N, -75.17214ø E",
Tennessee,Memphis Grizzlies,Memphis,Fedex Forum,"35.13823ø N, -90.05046ø E",
Texas,Dallas Mavericks,Dallas,American Airlines Arena,"25.781342ø N, -80.18778ø E",
Texas,Houston Rockets,Houston,Toyota Center,"29.751162ø N, -95.36219ø E",
Texas,San Antonio Spurs,San Antonio,AT&T Center,"29.42694ø N, -98.43747ø E",
Utah,Utah Jazz,Utah,Vivint Smart Home Arena,"40.768234ø N, -111.901054ø E",
Wisconsin,Milwaukee Bucks,Milwaukee,BMO Harris Bradley Center,"43.04369ø N, -87.91713ø E",
Washington DC*,Washington Wizards,Washington DC,Capital One Arena,38ø53?53?N 77ø1?15?W,
